http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011
http://statistics.data.gov.uk/id/local-authority-district/18UE,North Devon,,,,,440,440,480,420,340,330,220
http://statistics.data.gov.uk/id/local-authority-district/19UE,North Dorset,,,,,490,560,270,190,200,190,270
http://statistics.data.gov.uk/id/government-office-region/A,North East,,,,,5580,5540,7170,7510,4310,3740,4710
http://statistics.data.gov.uk/id/local-authority-district/17UJ,North East Derbyshire,,,,,230,330,510,310,230,210,140
http://statistics.data.gov.uk/id/local-authority-district/00FC,North East Lincolnshire,,,,,240,190,360,560,80,250,210
http://statistics.data.gov.uk/id/local-authority-district/26UF,North Hertfordshire,,,,,450,590,620,720,460,330,410
http://statistics.data.gov.uk/id/local-authority-district/32UE,North Kesteven,,,,,,,810,610,430,410,510
http://statistics.data.gov.uk/id/local-authority-district/00FD,North Lincolnshire,,,,,,1140,690,470,400,380,460
http://statistics.data.gov.uk/id/local-authority-district/33UF,North Norfolk,,,,,250,450,340,550,260,420,180
http://statistics.data.gov.uk/id/local-authority-district/39UC,North Shropshire,,,,,280,400,290,290,370,,
http://statistics.data.gov.uk/id/local-authority-district/00HC,North Somerset,,,,,1060,1250,1130,1470,940,770,640
http://statistics.data.gov.uk/id/local-authority-district/00CK,North Tyneside,,,,,730,750,560,610,310,290,260
http://statistics.data.gov.uk/id/local-authority-district/44UB,North Warwickshire,,,,,130,,170,140,110,90,100
http://statistics.data.gov.uk/id/government-office-region/B,North West,,,,,18150,20570,22750,26050,16310,10140,8530
http://statistics.data.gov.uk/id/local-authority-district/31UH,North West Leicestershire,,,,,310,410,320,350,240,230,190
http://statistics.data.gov.uk/id/local-authority-district/46UC,North Wiltshire,,,,,760,870,850,840,,,
http://statistics.data.gov.uk/id/local-authority-district/34UF,Northampton,,,,,,1550,1840,1020,710,350,320
http://statistics.data.gov.uk/id/local-authority-district/00EM,Northumberland,,,,,,,,,,480,1010
http://statistics.data.gov.uk/id/local-authority-district/33UG,Norwich,,,,,690,880,950,1040,530,370,380
http://statistics.data.gov.uk/id/local-authority-district/00FY,Nottingham,,,,,1050,970,1270,1170,720,910,300
http://statistics.data.gov.uk/id/local-authority-district/44UC,Nuneaton and Bedworth,,,,,490,700,330,300,300,150,340
http://statistics.data.gov.uk/id/local-authority-district/31UJ,Oadby and Wigston,,,,,140,120,160,40,90,90,80
http://statistics.data.gov.uk/id/local-authority-district/00BP,Oldham,,,,,110,230,290,400,400,-80,60
http://statistics.data.gov.uk/id/local-authority-district/39UD,Oswestry,,,,,260,240,260,190,190,,
http://statistics.data.gov.uk/id/local-authority-district/38UC,Oxford,,,,,640,920,830,530,670,,220
http://statistics.data.gov.uk/id/local-authority-district/30UJ,Pendle,,,,,230,320,260,200,-40,-70,60
http://statistics.data.gov.uk/id/local-authority-district/15UF,Penwith,,,,,300,310,290,450,570,,
http://statistics.data.gov.uk/id/local-authority-district/00JA,Peterborough,,,,,870,850,1250,990,1040,1110,710
http://statistics.data.gov.uk/id/local-authority-district/00HG,Plymouth,,,,,980,740,1360,790,910,410,540
http://statistics.data.gov.uk/id/local-authority-district/00HP,Poole,,,,,410,830,670,620,850,420,260
http://statistics.data.gov.uk/id/local-authority-district/00MR,Portsmouth,,,,,740,630,530,710,1310,730,320
http://statistics.data.gov.uk/id/local-authority-district/30UK,Preston,,,,,610,590,440,350,260,10,120
http://statistics.data.gov.uk/id/local-authority-district/19UG,Purbeck,,,,,90,160,190,210,190,170,80
http://statistics.data.gov.uk/id/local-authority-district/00MC,Reading,,,,,1180,660,640,840,780,690,
http://statistics.data.gov.uk/id/local-authority-district/00BC,Redbridge,,,,,710,760,1020,630,620,950,460
http://statistics.data.gov.uk/id/local-authority-district/00EE,Redcar and Cleveland,,,,,,70,310,120,220,70,60
http://statistics.data.gov.uk/id/local-authority-district/47UD,Redditch,,,,,320,280,470,240,100,170,120
http://statistics.data.gov.uk/id/local-authority-district/43UF,Reigate and Banstead,,,,,460,620,610,600,840,430,
http://statistics.data.gov.uk/id/local-authority-district/15UG,Restormel,,,,,660,510,570,700,780,,
http://statistics.data.gov.uk/id/local-authority-district/30UL,Ribble Valley,,,,,,160,80,60,80,90,70
http://statistics.data.gov.uk/id/local-authority-district/00BD,Richmond upon Thames,,,,,580,900,240,310,350,220,320
http://statistics.data.gov.uk/id/local-authority-district/36UE,Richmondshire,,,,,,130,160,190,80,40,40
http://statistics.data.gov.uk/id/local-authority-district/00BQ,Rochdale,,,,,40,400,130,420,380,40,190
http://statistics.data.gov.uk/id/local-authority-district/22UL,Rochford,,,,,60,260,450,170,100,90,40
http://statistics.data.gov.uk/id/local-authority-district/30UM,Rossendale,,,,,,,120,190,60,170,70
http://statistics.data.gov.uk/id/local-authority-district/21UG,Rother,,,,,260,230,400,410,200,100,220
http://statistics.data.gov.uk/id/local-authority-district/00CF,Rotherham,,,,,490,330,550,520,610,320,470
http://statistics.data.gov.uk/id/local-authority-district/44UD,Rugby,,,,,410,580,1490,700,380,410,420
http://statistics.data.gov.uk/id/local-authority-district/43UG,Runnymede,,,,,220,520,200,250,230,,170
http://statistics.data.gov.uk/id/local-authority-district/37UJ,Rushcliffe,,,,,480,260,460,490,190,230,210
http://statistics.data.gov.uk/id/local-authority-district/24UL,Rushmoor,,,,,530,640,830,300,300,550,250
http://statistics.data.gov.uk/id/local-authority-district/00FP,Rutland,,,,,,,190,90,120,110,110
http://statistics.data.gov.uk/id/local-authority-district/36UF,Ryedale,,,,,110,,130,210,90,110,170
http://statistics.data.gov.uk/id/local-authority-district/00BR,Salford,,,,,480,410,1720,2610,1550,480,460
http://statistics.data.gov.uk/id/local-authority-district/46UD,Salisbury,,,,,230,440,370,460,,,
http://statistics.data.gov.uk/id/local-authority-district/00CS,Sandwell,,,,,730,1040,1120,1150,440,470,420
http://statistics.data.gov.uk/id/local-authority-district/36UG,Scarborough,,,,,440,410,600,290,200,210,240
http://statistics.data.gov.uk/id/local-authority-district/20UG,Sedgefield,,,,,120,130,200,200,120,,
http://statistics.data.gov.uk/id/local-authority-district/40UC,Sedgemoor,,,,,540,600,550,660,600,540,630
http://statistics.data.gov.uk/id/local-authority-district/00CA,Sefton,,,,,300,270,130,550,100,390,220
